title_one,title_two,title_three,id,goodComments
个人护理,口腔护理,牙膏,5307727,179729
个人护理,口腔护理,牙膏,100026078644,879902
个人护理,口腔护理,牙膏,10055233650405,553
个人护理,口腔护理,牙膏,1068549,2971847
个人护理,口腔护理,牙膏,100000265321,107511
个人护理,口腔护理,牙膏,100019108319,2285789
个人护理,口腔护理,牙膏,312606,2756977
个人护理,口腔护理,牙膏,70878775280,3721
个人护理,口腔护理,牙膏,31514722095,49709
个人护理,口腔护理,牙膏,100012545121,83787
个人护理,口腔护理,牙膏,10043904911853,2152
个人护理,口腔护理,牙膏,100017563054,8431
个人护理,口腔护理,牙膏,67156343434,8708
个人护理,口腔护理,牙膏,100014428979,1037514
个人护理,口腔护理,牙膏,312608,1422890
个人护理,口腔护理,牙膏,603050,636966
个人护理,口腔护理,牙膏,71649610277,1810
个人护理,口腔护理,牙膏,100000819407,487493
个人护理,口腔护理,牙膏,72415231679,2285
个人护理,口腔护理,牙膏,10055115682046,3940
个人护理,口腔护理,牙膏,100012552708,261783
个人护理,口腔护理,牙膏,100025395290,248947
个人护理,口腔护理,牙膏,10043978171931,1301
个人护理,口腔护理,牙膏,2860481,801979
个人护理,口腔护理,牙膏,3379813,1666359
个人护理,口腔护理,牙膏,8704062,954028
个人护理,口腔护理,牙膏,100028410465,1703
个人护理,口腔护理,牙膏,7088332,136210
个人护理,口腔护理,牙膏,55165551933,20216
个人护理,口腔护理,牙膏,65354750360,7606
个人护理,口腔护理,牙膏,2066232,1518226
个人护理,口腔护理,牙膏,100005226112,1034138
个人护理,口腔护理,牙膏,100028410485,1170
个人护理,口腔护理,牙膏,100015409552,119894
个人护理,口腔护理,牙膏,100018609806,75537
个人护理,口腔护理,牙膏,100007251595,120476
个人护理,口腔护理,牙膏,10056657309641,81
个人护理,口腔护理,牙膏,10038493654808,1869
个人护理,口腔护理,牙膏,10033459559678,540
个人护理,口腔护理,牙膏,10048026500274,3505
个人护理,口腔护理,牙膏,346416,1365636
个人护理,口腔护理,牙膏,10048118449629,3323
个人护理,口腔护理,牙膏,10042162628078,980
个人护理,口腔护理,牙膏,64077075331,6988
个人护理,口腔护理,牙膏,3930309,559270
个人护理,口腔护理,牙膏,10056716672062,473
个人护理,口腔护理,牙膏,1133092,670554
个人护理,口腔护理,牙膏,59184708687,3658
个人护理,口腔护理,牙膏,10044948412941,2864
个人护理,口腔护理,牙膏,10035452944069,858
个人护理,口腔护理,牙膏,10049395084023,13283
个人护理,口腔护理,牙膏,100022955196,116911
个人护理,口腔护理,牙膏,65353249215,6214
个人护理,口腔护理,牙膏,100038618896,119184
个人护理,口腔护理,牙膏,100004255585,63446
个人护理,口腔护理,牙膏,1212730,363034
个人护理,口腔护理,牙膏,10059200324453,186
个人护理,口腔护理,牙膏,100025669571,4530
个人护理,口腔护理,牙膏,3766969,81880
个人护理,口腔护理,牙膏,100027104404,27238
个人护理,口腔护理,牙膏,10056349882970,1721
个人护理,口腔护理,牙膏,10044951692947,313
个人护理,口腔护理,牙膏,100005197195,23515
个人护理,口腔护理,牙膏,10057543677451,943
个人护理,口腔护理,牙膏,100003886188,858593
个人护理,口腔护理,牙膏,69251022585,13327
个人护理,口腔护理,牙膏,70628723344,4789
个人护理,口腔护理,牙膏,1130754,756620
个人护理,口腔护理,牙膏,6455155,144323
个人护理,口腔护理,牙膏,1007583222,2032
个人护理,口腔护理,牙膏,10049964857591,1659
个人护理,口腔护理,牙膏,1006868,716575
个人护理,口腔护理,牙膏,1217810,174691
个人护理,口腔护理,牙膏,100013026756,6509
个人护理,口腔护理,牙膏,10042889762744,203
个人护理,口腔护理,牙膏,100026653338,3221
个人护理,口腔护理,牙膏,7367927,211953
个人护理,口腔护理,牙膏,100013609347,45772
个人护理,口腔护理,牙膏,100021860992,23941
个人护理,口腔护理,牙膏,100022182906,34243
个人护理,口腔护理,牙膏,100011524323,40734
个人护理,口腔护理,牙膏,100000670943,125090
个人护理,口腔护理,牙膏,10045985762869,4387
个人护理,口腔护理,牙膏,10032593318127,1825
个人护理,口腔护理,牙膏,10021137535729,4120
个人护理,口腔护理,牙膏,100018806873,50946
个人护理,口腔护理,牙膏,10057782170677,738
个人护理,口腔护理,牙膏,100014453330,73375
个人护理,口腔护理,牙膏,10057226855389,1737
个人护理,口腔护理,牙膏,10023465881555,6385
个人护理,口腔护理,牙膏,100031339762,16126
个人护理,口腔护理,牙膏,100013552368,31127
个人护理,口腔护理,牙膏,69393686373,11923
个人护理,口腔护理,牙膏,312597,604401
个人护理,口腔护理,牙膏,100030570102,2879
个人护理,口腔护理,牙膏,851500,592268
个人护理,口腔护理,牙膏,10021137763668,2146
个人护理,口腔护理,牙膏,100029934858,5769
个人护理,口腔护理,牙膏,100010400890,33467
个人护理,口腔护理,牙膏,100002194803,308810
个人护理,口腔护理,牙膏,10058286941572,6299
个人护理,口腔护理,牙膏,100035914546,57875
个人护理,口腔护理,牙膏,5917891,287066
个人护理,口腔护理,牙膏,47700946475,21313
个人护理,口腔护理,牙膏,100018207673,37141
个人护理,口腔护理,牙膏,2174184,467239
个人护理,口腔护理,牙膏,4895982,211538
个人护理,口腔护理,牙膏,12036070240,698
个人护理,口腔护理,牙膏,100007234097,185458
个人护理,口腔护理,牙膏,100003838626,17822
个人护理,口腔护理,牙膏,3410378,420032
个人护理,口腔护理,牙膏,10049830875464,1642
个人护理,口腔护理,牙膏,10038712034290,3689
个人护理,口腔护理,牙膏,727479,542044
个人护理,口腔护理,牙膏,10046763890556,2232
个人护理,口腔护理,牙膏,1308182,304810
个人护理,口腔护理,牙膏,1248893,485265
个人护理,口腔护理,牙膏,100030584072,8786
个人护理,口腔护理,牙膏,10050934231585,94
个人护理,口腔护理,牙膏,19197897133,21459
个人护理,口腔护理,牙膏,2170519,129552
个人护理,口腔护理,牙膏,10030047433231,2994
个人护理,口腔护理,牙膏,10026769791693,4292
个人护理,口腔护理,牙膏,34359921210,40094
个人护理,口腔护理,牙膏,10057125632849,119
个人护理,口腔护理,牙膏,1634065,964139
个人护理,口腔护理,牙膏,100018418677,2001876
个人护理,口腔护理,牙膏,100025045077,4710
个人护理,口腔护理,牙膏,10026257299739,151
个人护理,口腔护理,牙膏,10041980241536,25348
个人护理,口腔护理,牙膏,5158187,194099
个人护理,口腔护理,牙膏,1576092826,14845
个人护理,口腔护理,牙膏,10035284568068,1499
个人护理,口腔护理,牙膏,100025395837,660
个人护理,口腔护理,牙膏,10040549622100,3405
个人护理,口腔护理,牙膏,10056867124701,558
个人护理,口腔护理,牙膏,45013672105,452
个人护理,口腔护理,牙膏,100016217239,22703
个人护理,口腔护理,牙膏,10060045431323,2
个人护理,口腔护理,牙膏,10048147794595,1566
个人护理,口腔护理,牙膏,100010461905,7780
个人护理,口腔护理,牙膏,100006450651,53359
个人护理,口腔护理,牙膏,10056743207921,7901
个人护理,口腔护理,牙膏,100009199806,168695
个人护理,口腔护理,牙膏,100025796730,22779
个人护理,口腔护理,牙膏,10027164793303,87
个人护理,口腔护理,牙膏,100004444171,9290
个人护理,口腔护理,牙膏,100025514668,152112
个人护理,口腔护理,牙膏,100021409566,44452
个人护理,口腔护理,牙膏,10034788009126,78
个人护理,口腔护理,牙膏,100024410405,180
个人护理,口腔护理,牙膏,10032901484955,162
个人护理,口腔护理,牙膏,58643852766,18270
个人护理,口腔护理,牙膏,10053970911906,555
个人护理,口腔护理,牙膏,10059589137234,0
个人护理,口腔护理,牙膏,10038974014147,62
个人护理,口腔护理,牙膏,65426675430,724
个人护理,口腔护理,牙膏,10025743569517,7124
个人护理,口腔护理,牙膏,10036012498003,26
个人护理,口腔护理,牙膏,100017020594,18143
个人护理,口腔护理,牙膏,5018542,112203
个人护理,口腔护理,牙膏,64678658311,6635
个人护理,口腔护理,牙膏,4120988,420491
个人护理,口腔护理,牙膏,100013504743,648
个人护理,口腔护理,牙膏,905613,381122
个人护理,口腔护理,牙膏,10056957090920,3
个人护理,口腔护理,牙膏,100016235821,1169
个人护理,口腔护理,牙膏,10024806363746,254
个人护理,口腔护理,牙膏,10057569945235,102
个人护理,口腔护理,牙膏,100003054581,65967
个人护理,口腔护理,牙膏,10036016503042,322
个人护理,口腔护理,牙膏,5045704,283738
个人护理,口腔护理,牙膏,68382080527,12250
个人护理,口腔护理,牙膏,10050359732033,2415
个人护理,口腔护理,牙膏,100022955170,3494
个人护理,口腔护理,牙膏,100036498130,1025
个人护理,口腔护理,牙膏,10040670300886,6658
个人护理,口腔护理,牙膏,10039175790517,1172
个人护理,口腔护理,牙膏,10027799523190,290
